4965513.29,439454.249,590.041
4965512.902,439454.371,581.498
4965519.236,439470.007,581.7
4965528.629,439491.383,581.516
4965536.236,439508.249,581.732
4965550.1,439535.802,582.402
4965535.084,439543.488,582.164
4965523.603,439549.992,566.117
4965501.805,439561.226,565.849
4965496.678,439564.282,559.632
4965473.709,439577.713,557.948
4965466.361,439590.379,549.101
4965435.655,439654.102,548.838
4965432.965,439655.642,548.838
4965419.776,439666.272,540.021
4965385.755,439695.87,540.199
4965360.21,439711.493,525.112
4965352.987,439718.711,525.183
4965322.352,439742.584,506.721
4965307.323,439754.169,507.129
4965299.764,439760.083,506.928
4965297.266,439762.075,505.101
4965285.719,439771.353,504.999
4965282.964,439773.843,502.171
4965266.847,439786.524,501.411
4965266.51,439786.991,502.311
4965245.29,439800.908,483.476
4965222.115,439815.344,478.784
4965235.59,439838.764,478.476
4965246.215,439857.352,478.145
4965254.101,439871.202,477.923
4965263.911,439888.696,477.384
4965208.491,439922.751,476.327
4965192.825,439932.071,461.967
4965154.367,439955.29,462.444
